time,close,Volume
941414400,2.6,NaN
944006400,2.7,NaN
946684800,2.7,NaN
949363200,3.2,NaN
951868800,3.8,NaN
954547200,3.1,NaN
957139200,3.2,NaN
959817600,3.7,NaN
962409600,3.7,NaN
965088000,3.4,NaN
967766400,3.5,NaN
970358400,3.4,NaN
973036800,3.4,NaN
975628800,3.4,NaN
978307200,3.7,NaN
980985600,3.5,NaN
983404800,2.9,NaN
986083200,3.3,NaN
988675200,3.6,NaN
991353600,3.2,NaN
993945600,2.7,NaN
996624000,2.7,NaN
999302400,2.6,NaN
1001894400,2.1,NaN
1004572800,1.9,NaN
1007164800,1.6,NaN
1009843200,1.1,NaN
1012521600,1.1,NaN
1014940800,1.5,NaN
1017619200,1.6,NaN
1020211200,1.2,NaN
1022889600,1.1,NaN
1025481600,1.5,NaN
1028160000,1.8,NaN
1030838400,1.5,NaN
1033430400,2,NaN
1036108800,2.2,NaN
1038700800,2.4,NaN
1041379200,2.6,NaN
1044057600,3,NaN
1046476800,3,NaN
1049155200,2.2,NaN
1051747200,2.1,NaN
1054425600,2.1,NaN
1057017600,2.1,NaN
1059696000,2.2,NaN
1062374400,2.3,NaN
1064966400,2,NaN
1067644800,1.8,NaN
1070236800,1.9,NaN
1072915200,2,NaN
1075593600,1.7,NaN
1078099200,1.7,NaN
1080777600,2.3,NaN
1083369600,3.1,NaN
1086048000,3.3,NaN
1088640000,2.9,NaN
1091318400,2.7,NaN
1093996800,2.5,NaN
1096588800,3.2,NaN
1099267200,3.5,NaN
1101859200,3.3,NaN
1104537600,3,NaN
1107216000,3,NaN
1109635200,3.1,NaN
1112313600,3.5,NaN
1114905600,2.8,NaN
1117584000,2.5,NaN
1120176000,3.2,NaN
1122854400,3.6,NaN
1125532800,4.7,NaN
1128124800,4.3,NaN
1130803200,3.5,NaN
1133395200,3.4,NaN
1136073600,4,NaN
1138752000,3.6,NaN
1141171200,3.4,NaN
1143849600,3.5,NaN
1146441600,4.2,NaN
1149120000,4.3,NaN
1151712000,4.1,NaN
1154390400,3.8,NaN
1157068800,2.1,NaN
1159660800,1.3,NaN
1162339200,2,NaN
1164931200,2.5,NaN
1167609600,2.1,NaN
1170288000,2.4,NaN
1172707200,2.8,NaN
1175385600,2.6,NaN
1177977600,2.7,NaN
1180656000,2.7,NaN
1183248000,2.4,NaN
1185926400,2,NaN
1188604800,2.8,NaN
1191196800,3.5,NaN
1193875200,4.3,NaN
1196467200,4.1,NaN
1199145600,4.3,NaN
1201824000,4,NaN
1204329600,4,NaN
1207008000,3.9,NaN
1209600000,4.2,NaN
1212278400,5,NaN
1214870400,5.6,NaN
1217548800,5.4,NaN
1220227200,4.9,NaN
1222819200,3.7,NaN
1225497600,1.1,NaN
1228089600,0.1,NaN
1230768000,0,NaN
1233446400,0.2,NaN
1235865600,-0.4,NaN
1238544000,-0.7,NaN
1241136000,-1.3,NaN
1243814400,-1.4,NaN
1246406400,-2.1,NaN
1249084800,-1.5,NaN
1251763200,-1.3,NaN
1254355200,-0.2,NaN
1257033600,1.8,NaN
1259625600,2.7,NaN
1262304000,2.6,NaN
1264982400,2.1,NaN
1267401600,2.3,NaN
