time,close,Volume
941414400,5.42,NaN
944006400,5.3,NaN
946684800,5.45,NaN
949363200,5.73,NaN
951868800,5.85,NaN
954547200,6.02,NaN
957139200,6.27,NaN
959817600,6.53,NaN
962409600,6.54,NaN
965088000,6.5,NaN
967766400,6.52,NaN
970358400,6.51,NaN
973036800,6.51,NaN
975628800,6.4,NaN
978307200,5.98,NaN
980985600,5.49,NaN
983404800,5.31,NaN
986083200,4.8,NaN
988675200,4.21,NaN
991353600,3.97,NaN
993945600,3.77,NaN
996624000,3.65,NaN
999302400,3.07,NaN
1001894400,2.49,NaN
1004572800,2.09,NaN
1007164800,1.82,NaN
1009843200,1.73,NaN
1012521600,1.74,NaN
1014940800,1.73,NaN
1017619200,1.75,NaN
1020211200,1.75,NaN
1022889600,1.75,NaN
1025481600,1.73,NaN
1028160000,1.74,NaN
1030838400,1.75,NaN
1033430400,1.75,NaN
1036108800,1.34,NaN
1038700800,1.24,NaN
1041379200,1.24,NaN
1044057600,1.26,NaN
1046476800,1.25,NaN
1049155200,1.26,NaN
1051747200,1.26,NaN
1054425600,1.22,NaN
1057017600,1.01,NaN
1059696000,1.03,NaN
1062374400,1.01,NaN
1064966400,1.01,NaN
1067644800,1,NaN
1070236800,0.98,NaN
1072915200,1,NaN
1075593600,1.01,NaN
1078099200,1,NaN
1080777600,1,NaN
1083369600,1,NaN
1086048000,1.03,NaN
1088640000,1.26,NaN
1091318400,1.43,NaN
1093996800,1.61,NaN
1096588800,1.76,NaN
1099267200,1.93,NaN
1101859200,2.16,NaN
1104537600,2.28,NaN
1107216000,2.5,NaN
1109635200,2.63,NaN
1112313600,2.79,NaN
1114905600,3,NaN
1117584000,3.04,NaN
1120176000,3.26,NaN
1122854400,3.5,NaN
1125532800,3.62,NaN
1128124800,3.78,NaN
1130803200,4,NaN
1133395200,4.16,NaN
1136073600,4.29,NaN
1138752000,4.49,NaN
1141171200,4.59,NaN
1143849600,4.79,NaN
1146441600,4.94,NaN
1149120000,4.99,NaN
1151712000,5.24,NaN
1154390400,5.25,NaN
1157068800,5.25,NaN
1159660800,5.25,NaN
1162339200,5.25,NaN
1164931200,5.24,NaN
1167609600,5.25,NaN
1170288000,5.26,NaN
1172707200,5.26,NaN
1175385600,5.25,NaN
1177977600,5.25,NaN
1180656000,5.25,NaN
1183248000,5.26,NaN
1185926400,5.02,NaN
1188604800,4.94,NaN
1191196800,4.76,NaN
1193875200,4.49,NaN
1196467200,4.24,NaN
1199145600,3.94,NaN
1201824000,2.98,NaN
1204329600,2.61,NaN
1207008000,2.28,NaN
1209600000,1.98,NaN
1212278400,2,NaN
1214870400,2.01,NaN
1217548800,2,NaN
1220227200,1.81,NaN
1222819200,0.97,NaN
1225497600,0.39,NaN
1228089600,0.16,NaN
1230768000,0.15,NaN
1233446400,0.22,NaN
1235865600,0.18,NaN
1238544000,0.15,NaN
1241136000,0.18,NaN
1243814400,0.21,NaN
1246406400,0.16,NaN
1249084800,0.16,NaN
1251763200,0.15,NaN
1254355200,0.12,NaN
1257033600,0.12,NaN
1259625600,0.12,NaN
1262304000,0.11,NaN
1264982400,0.13,NaN
1267401600,0.16,NaN
1270080000,0.2,NaN
1272672000,0.2,NaN
1275350400,0.18,NaN
1277942400,0.18,NaN
1280620800,0.19,NaN
1283299200,0.19,NaN
1285891200,0.19,NaN
1288569600,0.19,NaN
1291161600,0.18,NaN
1293840000,0.17,NaN
1296518400,0.16,NaN
1298937600,0.14,NaN
1301616000,0.1,NaN
1304208000,0.09,NaN
1306886400,0.09,NaN
1309478400,0.07,NaN
1312156800,0.1,NaN
1314835200,0.08,NaN
1317427200,0.07,NaN
1320105600,0.08,NaN
1322697600,0.07,NaN
1325376000,0.08,NaN
1328054400,0.1,NaN
1330560000,0.13,NaN
1333238400,0.14,NaN
1335830400,0.16,NaN
1338508800,0.16,NaN
1341100800,0.16,NaN
1343779200,0.13,NaN
1346457600,0.14,NaN
1349049600,0.16,NaN
1351728000,0.16,NaN
1354320000,0.16,NaN
1356998400,0.14,NaN
1359676800,0.15,NaN
1362096000,0.14,NaN
1364774400,0.15,NaN
1367366400,0.11,NaN
1370044800,0.09,NaN
1372636800,0.09,NaN
1375315200,0.08,NaN
1377993600,0.08,NaN
1380585600,0.09,NaN
1383264000,0.08,NaN
1385856000,0.09,NaN
1388534400,0.07,NaN
1391212800,0.07,NaN
1393632000,0.08,NaN
1396310400,0.09,NaN
1398902400,0.09,NaN
1401580800,0.1,NaN
1404172800,0.09,NaN
1406851200,0.09,NaN
1409529600,0.09,NaN
1412121600,0.09,NaN
1414800000,0.09,NaN
1417392000,0.12,NaN
1420070400,0.11,NaN
1422748800,0.11,NaN
1425168000,0.11,NaN
1427846400,0.12,NaN
1430438400,0.12,NaN
1433116800,0.13,NaN
1435708800,0.13,NaN
1438387200,0.14,NaN
1441065600,0.14,NaN
1443657600,0.12,NaN
1446336000,0.12,NaN
1448928000,0.24,NaN
1451606400,0.34,NaN
1454284800,0.38,NaN
1456790400,0.36,NaN
1459468800,0.37,NaN
1462060800,0.37,NaN
1464739200,0.38,NaN
1467331200,0.39,NaN
1470009600,0.4,NaN
1472688000,0.4,NaN
1475280000,0.4,NaN
1477958400,0.41,NaN
1480550400,0.54,NaN
1483228800,0.65,NaN
1485907200,0.66,NaN
1488326400,0.79,NaN
1491004800,0.9,NaN
1493596800,0.91,NaN
1496275200,1.04,NaN
1498867200,1.15,NaN
1501545600,1.16,NaN
1504224000,1.15,NaN
1506816000,1.15,NaN
1509494400,1.16,NaN
1512086400,1.3,NaN
1514764800,1.41,NaN
1517443200,1.42,NaN
1519862400,1.51,NaN
1522540800,1.69,NaN
1525132800,1.7,NaN
1527811200,1.82,NaN
1530403200,1.91,NaN
1533081600,1.91,NaN
1535760000,1.95,NaN
1538352000,2.19,NaN
1541030400,2.2,NaN
1543622400,2.27,NaN
1546300800,2.4,NaN
1548979200,2.4,NaN
1551398400,2.41,NaN
1554076800,2.42,NaN
1556668800,2.39,NaN
1559347200,2.38,NaN
1561939200,2.4,NaN
1564617600,2.13,NaN
1567296000,2.04,NaN
1569888000,1.83,NaN
1572566400,1.55,NaN
1575158400,1.55,NaN
1577836800,1.55,NaN
1580515200,1.58,NaN
1583020800,0.65,NaN
1585699200,0.05,NaN
1588291200,0.05,NaN
1590969600,0.08,NaN
1593561600,0.09,NaN
1596240000,0.1,NaN
1598918400,0.09,NaN
1601510400,0.09,NaN
1604188800,0.09,NaN
1606780800,0.09,NaN
1609459200,0.09,NaN
1612137600,0.08,NaN
1614556800,0.07,NaN
1617235200,0.07,NaN
1619827200,0.06,NaN
1622505600,0.08,NaN
1625097600,0.1,NaN
1627776000,0.09,NaN
1630454400,0.08,NaN
1633046400,0.08,NaN
1635724800,0.08,NaN
1638316800,0.08,NaN
1640995200,0.08,NaN
1643673600,0.08,NaN
1646092800,0.2,NaN
1648771200,0.33,NaN
1651363200,0.77,NaN
1654041600,1.21,NaN
1656633600,1.68,NaN
1659312000,2.33,NaN
1661990400,2.56,NaN
1664582400,3.08,NaN
1667260800,3.78,NaN
1669852800,4.1,NaN
1672531200,4.33,NaN
1675209600,4.57,NaN
1677628800,4.65,NaN
1680307200,4.83,NaN
1682899200,5.06,NaN
1685577600,5.08,NaN
1688169600,5.12,NaN
1690848000,5.33,NaN
1693526400,5.33,NaN
1696118400,5.33,NaN
1698796800,5.33,NaN
1701388800,5.33,NaN
1704067200,5.33,NaN
1706745600,5.33,NaN
1709251200,5.33,NaN
1711929600,5.33,NaN
1714521600,5.33,NaN
1717200000,5.33,NaN
1719792000,5.33,NaN
1722470400,5.33,NaN
1725148800,5.13,NaN
1727740800,4.83,NaN
